TEXTURE AT STRAIN =    0.7000
   2.705   2.778   0.111  <-- length of phase ellipsoid axes
  -70.09    0.83 -165.03  <-- Euler angles (deg) of phase ellipsoid axes
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
  177.17   99.62 -169.75   0.0003500
