TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  160.00   16.87  -77.84  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
  160.00   33.75 -160.00   0.0003500
TEXTURE AT STRAIN =    0.0500
   1.109   1.157   0.759  <-- length of phase ellipsoid axes
  -50.16    2.17 -179.68  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
  149.16   38.43 -149.55   0.0003500
