TEXTURE AT STRAIN =    0.1000
   1.298   1.320   0.549  <-- length of phase ellipsoid axes
  -33.82    0.71    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
  126.25   54.75 -131.96   0.0003500
